id,full_sq,life_sq,floor,max_floor,material,build_year,num_room,kitch_sq,priceClass
1,187,187,2,10,2,143,1,204,Low
2,765,493,1,8,1,78,2,102,Low
3,646,408,5,7,2,85,2,85,Low
4,663,323,4,10,1,65,1,136,Low
5,1020,714,3,8,1,72,3,102,Low
6,1122,782,3,5,5,67,3,119,Low
7,1003,731,7,8,1,70,3,102,Low
8,1105,561,2,3,2,40,2,153,Low
9,544,323,1,5,5,88,1,85,Low
10,527,357,1,1,5,88,1,85,Low
11,578,221,3,3,4,38,1,170,Low
12,1411,748,6,6,1,44,3,170,Low
13,867,510,5,10,1,53,2,136,Low
14,612,323,6,8,5,68,1,153,Low
15,680,340,1,1,1,46,1,136,Low
16,884,476,3,4,1,73,2,187,Low
17,646,391,3,7,5,84,2,102,Low
18,646,340,8,8,1,80,1,136,Low
19,510,306,1,1,2,87,1,85,Low
20,1003,731,3,7,1,76,3,85,Low
21,748,476,1,1,1,73,2,102,Low
22,952,663,1,1,2,89,3,85,Low
23,578,391,1,3,5,90,1,85,Low
24,969,561,1,1,5,71,2,170,Low
25,969,969,5,7,1,80,3,85,Low
26,391,255,6,6,2,82,1,51,Low
27,510,306,4,5,2,87,1,85,Low
28,731,493,7,9,2,89,2,85,Low
29,561,306,3,7,1,78,1,102,Low
30,697,340,2,2,1,72,1,136,Low
31,1088,476,5,6,4,42,2,170,Low
32,782,340,2,4,2,93,1,136,Low
33,731,459,7,7,1,78,2,85,Low
34,544,323,1,1,2,90,1,102,Low
35,1241,884,7,7,2,91,3,136,Low
36,646,323,9,10,1,42,1,119,Low
37,697,374,2,2,4,40,1,170,Low
38,340,204,8,10,2,77,1,51,Low
39,867,510,2,6,2,63,2,119,Low
40,1088,697,2,5,2,118,3,119,Low
41,289,170,6,8,2,82,1,51,Low
42,408,272,1,2,2,82,1,51,Low
43,765,493,6,8,1,85,2,85,Low
44,1207,833,3,4,2,89,3,119,Low
45,1394,1020,4,7,2,112,3,68,Low
46,646,374,3,4,5,84,2,119,Low
47,901,544,8,9,1,63,2,153,Low
48,510,272,1,1,2,90,1,102,Low
49,748,493,3,4,1,81,2,85,Low
50,663,663,1,9,1,2049,1,204,Low
51,578,323,1,2,1,69,1,153,Low
52,969,493,1,1,1,38,2,153,Low
53,493,289,3,4,2,87,1,85,Low
54,867,850,8,9,1,83,3,85,Low
55,765,476,7,9,1,82,2,85,Low
56,765,527,2,3,5,87,2,85,Low
57,680,357,7,7,1,63,1,136,Low
58,1394,952,5,7,2,90,3,153,Low
59,663,391,1,6,1,79,2,102,Low
60,646,323,2,2,1,42,1,119,Low
61,1649,952,2,3,6,43,3,170,Low
62,765,493,4,4,1,78,2,102,Low
63,510,272,2,2,2,88,1,102,Low
64,646,629,4,9,4,35,1,170,Low
65,680,680,1,2,1,36,1,17,Low
66,697,340,5,5,1,74,1,136,Low
67,612,306,2,3,4,37,1,102,Low
68,748,493,5,9,2,90,2,85,Low
69,1717,935,3,10,6,39,3,221,Low
70,901,578,1,8,1,75,3,102,Low
71,748,680,3,3,4,44,1,170,Low
72,459,459,6,8,6,2049,1,17,Low
73,544,357,1,2,5,87,1,85,Low
74,527,306,4,10,5,84,1,85,Low
75,765,476,1,8,1,81,2,102,Low
76,544,357,3,6,5,85,1,85,Low
77,663,629,1,1,1,37,1,17,Low
78,714,340,7,7,1,53,1,136,Low
79,1564,816,4,8,6,42,2,255,Low
80,493,272,8,9,2,92,1,85,Low
81,918,544,2,5,1,60,2,153,Low
82,629,612,2,2,1,35,1,17,Low
83,493,289,3,3,2,89,1,85,Low
84,782,476,3,3,5,75,2,102,Low
85,629,0,1,4,1,37,1,0,Low
86,850,561,4,6,5,76,2,102,Low
87,765,680,2,10,1,37,1,17,Low
88,629,629,4,6,1,2050,1,0,Low
89,1598,935,7,8,6,38,3,221,Low
90,289,221,1,3,2,88,1,34,Low
91,646,340,5,8,1,63,1,136,Low
92,408,272,6,6,2,85,1,51,Low
93,867,595,2,2,1,80,2,102,Low
94,1343,935,5,5,2,92,3,153,Low
95,782,476,8,9,1,82,2,85,Low
96,646,340,6,6,1,60,1,136,Low
97,935,646,9,9,2,86,3,102,Low
98,714,476,1,3,1,80,2,85,Low
99,884,510,1,1,1,74,2,136,Low
100,697,357,3,5,1,48,1,357,Low
101,714,340,3,4,1,42,1,136,Low
102,935,918,1,4,4,37,2,17,Low
103,595,391,3,9,1,86,1,85,Low
104,595,340,1,10,1,85,1,170,Low
105,544,306,1,1,1,80,1,102,Low
106,1020,646,1,2,1,72,3,136,Low
107,1122,748,1,1,1,84,3,153,Low
108,544,323,3,4,1,57,1,102,Low
109,629,306,4,4,1,79,1,136,Low
110,731,476,1,1,2,84,2,85,Low
111,663,629,2,2,4,35,1,153,Low
112,544,323,2,3,1,87,1,85,Low
113,1003,221,1,10,4,41,2,340,Low
114,646,646,2,9,2,37,1,170,Low
115,646,391,2,7,5,84,2,119,Low
116,663,374,1,1,5,84,2,102,Low
117,629,323,2,5,1,52,1,119,Low
118,901,544,5,8,1,38,2,153,Low
119,748,476,3,3,1,79,2,102,Low
120,850,476,1,4,1,74,2,187,Low
121,748,493,4,7,2,86,2,85,Low
122,544,306,1,3,1,74,1,102,Low
123,748,459,1,2,1,84,2,85,Low
124,680,680,1,1,1,36,2,170,Low
125,1003,748,3,4,1,79,3,85,Low
126,731,408,7,8,1,81,1,102,Low
127,527,357,7,8,5,86,1,85,Low
128,561,374,2,3,1,86,1,85,Low
129,765,306,2,2,4,36,1,119,Low
130,1139,680,7,7,6,42,3,153,Low
131,646,646,3,5,4,37,1,170,Low
132,544,323,5,8,5,89,1,85,Low
133,289,221,5,6,2,89,1,0,Low
134,680,255,1,10,6,43,1,153,Low
135,1241,1122,6,9,4,44,1,17,Low
136,731,459,8,10,1,74,2,85,Low
137,663,306,1,3,1,38,1,153,Low
138,748,459,4,6,2,86,2,85,Low
139,663,629,3,8,1,37,1,17,Low
140,561,340,2,4,1,84,1,85,Low
141,646,646,4,4,4,2049,1,17,Low
142,1105,595,1,5,1,37,3,0,Low
143,1904,1190,6,6,1,41,5,204,Low
144,1020,544,4,5,4,38,2,204,Low
145,952,612,7,8,1,85,3,85,Low
146,986,493,3,4,4,41,2,153,Low
147,561,323,3,3,1,79,1,102,Low
148,527,306,4,6,2,92,1,85,Low
149,629,323,1,5,1,66,1,170,Low
150,238,221,3,6,2,91,3,136,Low
151,1292,765,5,6,1,47,3,170,Low
152,748,476,2,6,1,85,2,85,Low
153,527,527,2,2,1,37,1,17,Low
154,629,374,1,1,1,85,2,119,Low
155,986,731,1,8,1,77,3,102,Low
156,595,323,8,9,5,80,1,153,Low
157,731,323,6,7,4,37,1,17,Low
158,510,289,3,7,1,84,1,85,Low
159,1326,731,6,9,1,39,3,204,Low
160,1054,646,1,1,1,79,3,136,Low
161,1581,1309,2,3,4,41,1,85,Low
162,544,323,2,9,1,85,1,85,Low
163,646,289,8,9,1,40,1,170,Low
164,646,323,2,4,1,68,1,136,Low
165,646,629,1,3,1,61,1,136,Low
166,510,306,1,5,2,90,1,102,Low
167,1088,646,4,7,1,69,3,136,Low
168,799,765,2,4,1,74,2,102,Low
169,816,357,4,6,6,39,1,187,Low
170,663,340,1,2,1,72,1,136,Low
171,663,663,4,10,1,2049,1,17,Low
172,697,697,2,9,1,37,1,17,Low
173,1071,561,2,2,1,42,2,204,Low
174,544,357,5,8,5,85,1,85,Low
175,578,391,2,2,2,89,2,85,Low
176,952,680,6,9,2,84,3,85,Low
177,1071,561,2,4,1,38,2,204,Low
178,1054,561,1,8,1,2047,2,0,Low
179,1394,714,5,8,6,44,2,289,Low
180,2448,1564,1,1,4,63,4,204,Low
181,646,323,1,1,1,71,1,136,Low
182,646,646,1,10,1,37,1,17,Low
183,952,510,1,9,1,65,2,204,Low
184,510,306,4,8,1,87,1,85,Low
185,646,323,2,2,5,74,1,153,Low
186,1003,748,4,5,1,80,3,102,Low
187,1360,884,2,9,4,41,2,187,Low
188,17,680,1,1,1,37,1,17,Low
189,646,629,3,4,1,35,1,119,Low
190,578,238,1,2,1,60,1,153,Low
191,1173,612,3,6,6,38,2,272,Low
192,544,340,7,10,1,86,1,85,Low
193,901,595,1,7,2,88,3,85,Low
194,935,935,3,5,2,37,1,170,Low
195,527,357,6,10,1,87,1,85,Low
196,867,561,1,5,5,77,2,119,Low
197,1326,782,6,9,1,56,3,136,Low
198,527,357,4,8,1,86,1,85,Low
199,527,272,4,4,5,84,1,153,Low
200,918,544,1,1,1,49,2,153,Low
